line,hyp.length,plate,chamber,light
BBB3,0.931,1,W,sun
BBB3,1.58,1,W,sun
BBB3,1.247,14,W,shade
BBB3,1.277,14,W,shade
BBB3,1.212,14,W,shade
BBB3,2.007,14,W,shade
BBB3,1.649,14,W,shade
BBB3,1.816,14,W,shade
BBB3,2.955,14,W,shade
BBB3,2.3,14,W,shade
BBB3,3.713,14,W,shade
BBB3,1.327,14,W,shade
BBB3,2.201,14,W,shade
BBB3,1.383,14,W,shade
BBB3,1.619,14,W,shade
BBB3,1.75,14,W,shade
BBB3,2.037,14,W,shade
SSS1,1.338,8,W,sun
SSS1,1.602,8,W,sun
SSS1,1.142,8,W,sun
SSS1,1.315,8,W,sun
SSS1,1.014,8,W,sun
SSS1,1.118,8,W,sun
SSS1,1.215,8,W,sun
SSS1,1.574,8,W,sun
SSS1,1.399,8,W,sun
SSS1,1.225,8,W,sun
SSS1,1.671,8,W,sun
SSS1,1.457,8,W,sun
SSS1,1.682,8,W,sun
SSS1,4.833,45,LED,shade
SSS1,4.442,45,LED,shade
SSS1,3.161,45,LED,shade
SSS1,4.654,45,LED,shade
SSS1,5.078,45,LED,shade
SSS1,5.161,45,LED,shade
SSS1,4.923,45,LED,shade
SSS1,3.873,45,LED,shade
SSS1,6.262,45,LED,shade
SSS1,5.604,45,LED,shade
SSS1,3.956,45,LED,shade
SSS1,5.07,45,LED,shade
SSS1,4.304,45,LED,shade
SSS1,4.787,45,LED,shade
SSS1,3.37,45,LED,shade
SSS1,4.575,45,LED,shade
SSS1,4.482,45,LED,shade
SSS1,4.44,45,LED,shade
SSS1,3.974,45,LED,shade
SSS1,6.539,45,LED,shade
BBB1,2.729,69,LED,sun
BBB1,4.794,69,LED,sun
BBB1,3.954,69,LED,sun
BBB1,4.688,69,LED,sun
BBB1,3.773,69,LED,sun
BBB1,4.375,69,LED,sun
BBB1,6.513,69,LED,sun
BBB1,6.513,69,LED,sun
BBB1,2.661,69,LED,sun
BBB1,3.935,69,LED,sun
BBB1,5.35,69,LED,sun
BBB1,5.226,69,LED,sun
BBB,5.084,68,LED,sun
BBB,2.921,68,LED,sun
BBB,5.305,68,LED,sun
BBB,3.624,68,LED,sun
BBB,3.166,68,LED,sun
BBB,3.799,68,LED,sun
